delay,delivery_rate,send_rate,cwnd,loss_rate,ts,reward,infer_time,distribution
3.25961340113,10.4264315335,12.3329475075,10.0,0,88,1.04264315335,0.067831993103,0_1_0
31.1929716027,7.41215957837,15.4944400208,20.0,0,118,0.741215957837,0.00355982780457,0_0_1
32.0946795589,4.87046165997,8.24905112538,30.0,0,142,0.487046165997,0.00306701660156,0_0_1
35.2170742532,5.88414193083,10.4957565009,40.0,0,169,0.588414193083,0.00322198867798,0_0_1
48.1562260839,6.0604975241,8.44241190393,40.0,0,196,0.60604975241,0.00440192222595,0_0_1
54.5886509054,6.98272354718,7.50231205859,40.0,0,220,0.698272354718,0.00330400466919,0_0_1
52.7980205002,7.67403774376,7.73028288778,40.0,0,244,0.767403774376,0.00287508964539,0_0_1
61.473487854,6.7597762237,6.87288552405,40.0,0,286,0.67597762237,0.00398397445679,0_0_1
72.0525481086,5.82317285771,5.83224508687,40.0,0,310,0.582317285771,0.00319409370422,0_0_1
72.2389316559,5.82606617713,5.79047575071,40.0,0,336,0.582606617713,0.00371599197388,0_0_1
57.187302635,7.2832377589,7.29446927389,40.0,0,362,0.72832377589,0.00236582756042,0_0_1
61.6340827942,6.71514592323,6.71359857611,40.0,0,387,0.671514592323,0.00350284576416,0_0_1
61.8009785888,6.76768646754,6.78631338834,40.0,0,411,0.676768646754,0.00279307365417,0_0_1
63.9974237396,6.49058515685,6.50237676776,40.0,0,435,0.649058515685,0.00346708297729,0_0_1
50.3988183796,8.16046281196,8.2006534637,40.0,0,460,0.816046281196,0.00349307060242,0_0_1
45.6166092008,8.84457827885,8.82401171337,40.0,0,484,0.884457827885,0.0030620098114,0_0_1
56.7250883496,7.2454272603,7.20394425665,40.0,0,508,0.72454272603,0.00306701660156,0_0_1
56.7807297934,7.23230906979,7.23047116931,40.0,0,533,0.723230906979,0.003084897995,0_0_1
55.0122489929,7.4080375313,7.5095060466,40.0,0,558,0.74080375313,0.00319504737854,0_0_1
57.6984534176,7.10343789113,7.11333160815,40.0,0,581,0.710343789113,0.00241184234619,0_0_1
56.2146743324,7.29409960169,7.28626538545,40.0,0,606,0.729409960169,0.00337409973145,0_0_1
47.8083028348,8.48805542053,8.47981152818,40.0,0,636,0.848805542053,0.00270986557007,0_0_1
60.4992777672,6.80500950089,6.83814269888,40.0,0,660,0.680500950089,0.00300288200378,0_0_1
61.0742233189,6.76843960933,6.76077910932,40.0,0,683,0.676843960933,0.00273394584656,0_0_1
55.8514973003,7.38915166205,7.45495030782,40.0,0,720,0.738915166205,0.00397801399231,0_0_1
62.9065556239,6.58626102568,6.57878380574,40.0,0,746,0.658626102568,0.00391483306885,0_0_1
65.1937081008,6.41739774427,6.38118658612,40.0,0,784,0.641739774427,0.00392508506775,0_0_1
53.3778996934,7.69281324202,7.74673328991,40.0,0,808,0.769281324202,0.00303816795349,0_0_1
58.6201485991,7.04258214657,7.03801133223,40.0,0,833,0.704258214657,0.00353598594666,0_0_1
50.4375280459,8.07842444966,8.12267314543,40.0,0,858,0.807842444966,0.00284004211426,0_0_1
48.5227099455,8.38597977633,8.41190044336,40.0,0,883,0.838597977633,0.00277495384216,0_0_1
53.6436206243,7.63027822548,7.63316989927,40.0,0,911,0.763027822548,0.00416612625122,0_0_1
53.1077664893,7.73531136886,7.69774460201,40.0,0,936,0.773531136886,0.00329685211182,0_0_1
47.4178041306,8.47536044336,8.48207526531,40.0,0,964,0.847536044336,0.00298094749451,0_0_1
42.7145777569,9.313393826,9.3594158653,40.0,0,990,0.9313393826,0.00283288955688,0_0_1
51.814916145,7.82384060035,7.82613322777,40.0,0,1015,0.782384060035,0.0036449432373,0_0_1
53.3216874285,7.63848294119,7.62558487338,40.0,0,1039,0.763848294119,0.00256299972534,0_0_1
49.4333223104,8.33046091809,8.31199321236,40.0,0,1064,0.833046091809,0.00322914123535,0_0_1
46.5215740005,8.65806816451,8.62834873542,40.0,0,1088,0.865806816451,0.00245690345764,0_0_1
55.216796875,7.39572875528,7.41513416069,40.0,0,1113,0.739572875528,0.0042359828949,0_0_1
78.5819489284,5.35187338201,5.340843895,40.0,0,1149,0.535187338201,0.00303912162781,0_0_1
76.5739781014,5.50641038194,5.50961353451,40.0,0,1173,0.550641038194,0.00340604782104,0_0_1
63.384765625,6.63531061247,6.79041800128,40.0,0,1215,0.663531061247,0.00365710258484,0_0_1
95.3095703125,4.4312981586,4.52598587234,40.0,0,1248,0.44312981586,0.0029981136322,0_0_1
116.025534126,3.68998512212,3.70896002067,40.0,0,1273,0.368998512212,0.00384497642517,0_0_1
109.94626836,3.93429749855,3.9232027523,40.0,0,1299,0.393429749855,0.00286293029785,0_0_1
86.03125,5.03019487525,5.0794851626,40.0,0,1384,0.503019487525,0.00423407554626,0_0_1
135.658714103,3.19774476624,3.19646835488,40.0,0,1411,0.319774476624,0.00395703315735,0_0_1
142.369590594,3.05965884081,3.04961931134,40.0,0,1443,0.305965884081,0.00313401222229,0_0_1
158.890869141,2.74000946326,2.73550961842,40.0,0,1485,0.274000946326,0.00339698791504,0_0_1
139.546297886,3.37013725695,3.39193807813,40.0,0,1511,0.337013725695,0.00411105155945,0_0_1
95.6431119077,4.48790360422,4.49697315236,40.0,0,1554,0.448790360422,0.00299501419067,0_0_1
107.580078125,3.96515412276,3.98554071693,40.0,0,1585,0.396515412276,0.00358104705811,0_0_1
84.6968678938,5.00621015986,5.04337444179,40.0,0,1610,0.500621015986,0.00282788276672,0_0_1
81.129134177,5.30895443092,5.32704840076,40.0,0,1636,0.530895443092,0.00274300575256,0_0_1
51.7362178095,7.88406625927,7.97518734452,40.0,0,1664,0.788406625927,0.00288987159729,0_0_1
82.4565429688,5.10999106756,5.215376163,40.0,0,1700,0.510999106756,0.00427103042603,0_0_1
105.27392453,4.06850097569,4.10653767488,40.0,0,1726,0.406850097569,0.00327491760254,0_0_1
118.3125,3.78277780868,3.70345621292,40.0,0,1811,0.378277780868,0.00376605987549,0_0_1
207.625,2.21768623108,2.22147514928,40.0,0,2003,0.221768623108,0.000307083129883,0_0_1
372.638786883,1.19787684541,0.958673709209,30.0,0,2029,0.119787684541,0.00035285949707,0_0_1
